Date received,"BANK OF AMERICA, NATIONAL ASSOCIATION",CAPITAL ONE FINANCIAL CORPORATION,"CITIBANK, N.A.","EQUIFAX, INC.",Experian Information Solutions Inc.,JPMORGAN CHASE & CO.,"Navient Solutions, LLC.",SYNCHRONY FINANCIAL,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WELLS FARGO & COMPANY
2015-12-13,11.0,3.0,6.0,19.0,9.0,1.0,null,5.0,8.0,6.0
2015-12-14,22.0,6.0,22.0,36.0,31.0,17.0,6.0,11.0,28.0,26.0
2015-12-15,34.0,12.0,23.0,35.0,26.0,19.0,6.0,9.0,25.0,33.0
2015-12-16,23.0,16.0,21.0,35.0,34.0,25.0,7.0,4.0,35.0,27.0
2015-12-17,27.0,11.0,21.0,29.0,23.0,11.0,10.0,8.0,26.0,17.0
2015-12-18,26.0,9.0,13.0,30.0,26.0,22.0,6.0,5.0,26.0,23.0
2015-12-19,9.0,6.0,8.0,10.0,21.0,8.0,1.0,5.0,18.0,7.0
2015-12-20,6.0,2.0,9.0,11.0,14.0,10.0,null,2.0,9.0,8.0
2015-12-21,26.0,14.0,20.0,54.0,37.0,24.0,1.0,15.0,40.0,24.0
2015-12-22,27.0,13.0,24.0,56.0,38.0,36.0,5.0,12.0,29.0,32.0
2015-12-23,23.0,7.0,12.0,23.0,21.0,20.0,2.0,6.0,17.0,28.0
2015-12-24,29.0,8.0,12.0,16.0,12.0,17.0,3.0,3.0,9.0,10.0
2015-12-25,7.0,4.0,5.0,8.0,8.0,7.0,1.0,1.0,6.0,3.0
2015-12-26,6.0,3.0,6.0,14.0,5.0,5.0,2.0,3.0,10.0,4.0
2015-12-27,6.0,6.0,12.0,3.0,10.0,4.0,3.0,2.0,5.0,3.0
2015-12-28,21.0,17.0,30.0,29.0,32.0,22.0,3.0,8.0,28.0,25.0
2015-12-29,25.0,24.0,20.0,51.0,58.0,22.0,7.0,11.0,49.0,29.0
2015-12-30,32.0,10.0,20.0,50.0,39.0,28.0,5.0,14.0,41.0,40.0
2015-12-31,24.0,8.0,15.0,40.0,45.0,24.0,4.0,11.0,31.0,24.0
2016-01-01,7.0,3.0,7.0,13.0,13.0,5.0,2.0,2.0,12.0,3.0
2016-01-02,3.0,6.0,5.0,15.0,17.0,7.0,4.0,3.0,11.0,3.0
2016-01-03,2.0,6.0,7.0,17.0,13.0,5.0,1.0,6.0,14.0,2.0
2016-01-04,31.0,13.0,16.0,45.0,28.0,27.0,6.0,15.0,38.0,24.0
2016-01-05,41.0,11.0,41.0,37.0,28.0,41.0,6.0,15.0,34.0,29.0
2016-01-06,30.0,12.0,17.0,51.0,37.0,29.0,6.0,12.0,27.0,28.0
2016-01-07,33.0,19.0,19.0,52.0,35.0,43.0,11.0,9.0,33.0,36.0
2016-01-08,30.0,11.0,20.0,29.0,30.0,30.0,9.0,10.0,12.0,29.0
2016-01-09,13.0,3.0,9.0,16.0,14.0,6.0,3.0,3.0,19.0,7.0
2016-01-10,7.0,9.0,6.0,11.0,12.0,10.0,2.0,3.0,14.0,8.0
2016-01-11,42.0,16.0,18.0,45.0,45.0,24.0,6.0,7.0,29.0,38.0
2016-01-12,34.0,19.0,30.0,67.0,53.0,40.0,9.0,12.0,45.0,39.0
2016-01-13,42.0,12.0,22.0,54.0,54.0,26.0,8.0,12.0,38.0,31.0
2016-01-14,47.0,19.0,28.0,50.0,37.0,52.0,5.0,11.0,25.0,72.0
2016-01-15,49.0,17.0,32.0,30.0,18.0,38.0,7.0,14.0,20.0,57.0
2016-01-16,28.0,7.0,8.0,14.0,15.0,23.0,2.0,5.0,9.0,20.0
2016-01-17,6.0,5.0,7.0,15.0,4.0,7.0,2.0,1.0,11.0,8.0
2016-01-18,12.0,3.0,11.0,22.0,25.0,8.0,3.0,6.0,16.0,11.0
2016-01-19,32.0,17.0,25.0,41.0,35.0,27.0,9.0,10.0,36.0,25.0
2016-01-20,38.0,14.0,22.0,36.0,32.0,38.0,13.0,12.0,32.0,32.0
2016-01-21,40.0,7.0,19.0,50.0,42.0,46.0,9.0,10.0,44.0,41.0
2016-01-22,29.0,12.0,19.0,30.0,36.0,26.0,7.0,13.0,22.0,28.0
2016-01-23,11.0,6.0,13.0,19.0,18.0,9.0,2.0,5.0,25.0,11.0
2016-01-24,5.0,6.0,6.0,13.0,13.0,6.0,null,1.0,10.0,9.0
2016-01-25,34.0,6.0,20.0,38.0,28.0,35.0,10.0,8.0,28.0,22.0
2016-01-26,49.0,19.0,31.0,67.0,37.0,45.0,11.0,17.0,40.0,63.0
2016-01-27,47.0,15.0,27.0,43.0,38.0,37.0,12.0,9.0,24.0,49.0
2016-01-28,37.0,11.0,21.0,44.0,47.0,23.0,6.0,13.0,34.0,33.0
2016-01-29,24.0,10.0,21.0,37.0,33.0,23.0,11.0,5.0,28.0,40.0
2016-01-30,12.0,5.0,6.0,14.0,6.0,7.0,4.0,5.0,10.0,7.0
2016-01-31,12.0,1.0,4.0,16.0,7.0,8.0,3.0,2.0,7.0,4.0
2016-02-01,21.0,8.0,27.0,53.0,50.0,31.0,8.0,10.0,37.0,26.0
2016-02-02,43.0,17.0,24.0,48.0,47.0,37.0,8.0,7.0,30.0,41.0
2016-02-03,40.0,19.0,24.0,51.0,49.0,19.0,8.0,12.0,32.0,34.0
2016-02-04,28.0,10.0,21.0,38.0,29.0,34.0,10.0,11.0,26.0,34.0
2016-02-05,24.0,15.0,18.0,42.0,35.0,22.0,11.0,12.0,34.0,29.0
2016-02-06,6.0,7.0,12.0,13.0,22.0,11.0,4.0,3.0,13.0,6.0
2016-02-07,5.0,4.0,10.0,14.0,22.0,7.0,2.0,3.0,11.0,6.0
2016-02-08,32.0,18.0,21.0,39.0,66.0,35.0,7.0,11.0,31.0,33.0
2016-02-09,42.0,19.0,32.0,43.0,42.0,40.0,9.0,9.0,38.0,44.0
2016-02-10,32.0,17.0,33.0,41.0,53.0,27.0,12.0,10.0,40.0,35.0
2016-02-11,34.0,21.0,27.0,61.0,40.0,34.0,7.0,10.0,32.0,35.0
2016-02-12,28.0,16.0,24.0,35.0,41.0,29.0,4.0,5.0,34.0,25.0
2016-02-13,9.0,3.0,14.0,11.0,11.0,7.0,null,4.0,11.0,8.0
2016-02-14,7.0,4.0,1.0,9.0,10.0,4.0,3.0,3.0,11.0,8.0
2016-02-15,12.0,7.0,15.0,43.0,19.0,17.0,8.0,8.0,20.0,7.0
2016-02-16,22.0,10.0,12.0,51.0,49.0,24.0,7.0,8.0,42.0,31.0
2016-02-17,46.0,12.0,24.0,54.0,42.0,36.0,5.0,9.0,26.0,42.0
2016-02-18,33.0,14.0,24.0,41.0,54.0,37.0,15.0,17.0,38.0,39.0
2016-02-19,26.0,12.0,19.0,43.0,39.0,27.0,7.0,9.0,31.0,29.0
2016-02-20,10.0,2.0,14.0,19.0,13.0,10.0,1.0,2.0,17.0,10.0
2016-02-21,2.0,6.0,7.0,15.0,13.0,7.0,2.0,5.0,9.0,5.0
2016-02-22,36.0,18.0,22.0,37.0,34.0,30.0,10.0,5.0,32.0,30.0
2016-02-23,53.0,17.0,34.0,54.0,52.0,42.0,15.0,7.0,40.0,42.0
2016-02-24,37.0,15.0,22.0,53.0,52.0,34.0,6.0,14.0,47.0,41.0
2016-02-25,38.0,11.0,21.0,50.0,41.0,24.0,12.0,13.0,37.0,35.0
2016-02-26,18.0,7.0,27.0,28.0,32.0,18.0,9.0,11.0,30.0,27.0
2016-02-27,9.0,5.0,13.0,11.0,16.0,5.0,5.0,4.0,19.0,10.0
2016-02-28,5.0,3.0,8.0,14.0,14.0,9.0,5.0,1.0,6.0,8.0
2016-02-29,39.0,19.0,20.0,41.0,46.0,25.0,10.0,10.0,30.0,17.0
2016-03-01,39.0,22.0,34.0,54.0,46.0,44.0,19.0,16.0,41.0,32.0
2016-03-02,30.0,20.0,25.0,66.0,52.0,33.0,20.0,13.0,38.0,31.0
2016-03-03,42.0,15.0,29.0,43.0,39.0,42.0,6.0,5.0,37.0,48.0
2016-03-04,21.0,16.0,28.0,48.0,47.0,24.0,9.0,6.0,37.0,22.0
2016-03-05,16.0,8.0,10.0,28.0,19.0,8.0,3.0,4.0,19.0,10.0
2016-03-06,1.0,3.0,7.0,27.0,19.0,7.0,2.0,6.0,14.0,6.0
2016-03-07,28.0,11.0,24.0,41.0,33.0,25.0,14.0,11.0,33.0,21.0
2016-03-08,35.0,16.0,25.0,72.0,65.0,28.0,20.0,5.0,39.0,34.0
2016-03-09,28.0,15.0,19.0,38.0,43.0,36.0,18.0,10.0,37.0,47.0
2016-03-10,27.0,14.0,20.0,42.0,31.0,28.0,15.0,7.0,32.0,30.0
2016-03-11,55.0,8.0,28.0,50.0,28.0,36.0,8.0,13.0,29.0,32.0
2016-03-12,8.0,5.0,10.0,15.0,16.0,7.0,4.0,3.0,15.0,10.0
2016-03-13,3.0,6.0,10.0,25.0,12.0,5.0,2.0,6.0,10.0,2.0
2016-03-14,39.0,16.0,19.0,40.0,36.0,27.0,16.0,9.0,35.0,24.0
2016-03-15,42.0,13.0,34.0,71.0,64.0,34.0,17.0,16.0,42.0,58.0
2016-03-16,34.0,22.0,26.0,71.0,46.0,32.0,12.0,10.0,52.0,31.0
2016-03-17,38.0,11.0,21.0,65.0,64.0,32.0,15.0,17.0,49.0,31.0
2016-03-18,27.0,12.0,16.0,67.0,59.0,32.0,21.0,16.0,64.0,18.0
2016-03-19,10.0,4.0,10.0,22.0,26.0,10.0,4.0,3.0,19.0,13.0
2016-03-20,5.0,5.0,8.0,21.0,23.0,8.0,7.0,4.0,23.0,5.0
2016-03-21,34.0,9.0,25.0,61.0,47.0,27.0,19.0,6.0,45.0,27.0
2016-03-22,47.0,14.0,28.0,56.0,50.0,33.0,9.0,8.0,43.0,31.0
2016-03-23,38.0,5.0,14.0,59.0,63.0,31.0,9.0,8.0,45.0,43.0
2016-03-24,32.0,11.0,23.0,65.0,47.0,24.0,13.0,11.0,59.0,34.0
2016-03-25,26.0,13.0,22.0,51.0,44.0,16.0,12.0,4.0,34.0,32.0
2016-03-26,4.0,2.0,6.0,21.0,12.0,5.0,8.0,5.0,16.0,9.0
2016-03-27,5.0,1.0,null,19.0,13.0,3.0,3.0,1.0,13.0,10.0
2016-03-28,32.0,8.0,26.0,48.0,35.0,30.0,14.0,11.0,42.0,25.0
2016-03-29,43.0,11.0,24.0,62.0,50.0,39.0,18.0,9.0,43.0,55.0
2016-03-30,37.0,11.0,18.0,81.0,74.0,37.0,17.0,7.0,64.0,31.0
2016-03-31,23.0,13.0,17.0,70.0,72.0,21.0,6.0,10.0,46.0,48.0
2016-04-01,34.0,15.0,26.0,57.0,42.0,27.0,17.0,5.0,37.0,35.0
2016-04-02,7.0,2.0,6.0,15.0,14.0,2.0,6.0,1.0,8.0,7.0
2016-04-03,7.0,5.0,5.0,17.0,13.0,5.0,3.0,5.0,23.0,6.0
2016-04-04,27.0,7.0,29.0,55.0,40.0,34.0,11.0,6.0,31.0,31.0
2016-04-05,45.0,13.0,23.0,48.0,46.0,28.0,14.0,9.0,40.0,28.0
2016-04-06,43.0,17.0,32.0,68.0,61.0,36.0,34.0,10.0,51.0,40.0
2016-04-07,35.0,20.0,22.0,54.0,46.0,27.0,24.0,7.0,46.0,28.0
2016-04-08,32.0,14.0,27.0,40.0,37.0,21.0,23.0,11.0,44.0,35.0
2016-04-09,12.0,5.0,9.0,17.0,20.0,10.0,7.0,3.0,17.0,11.0
2016-04-10,7.0,5.0,8.0,19.0,18.0,4.0,7.0,1.0,11.0,10.0
2016-04-11,38.0,15.0,34.0,69.0,57.0,32.0,18.0,7.0,49.0,24.0
2016-04-12,46.0,21.0,32.0,56.0,78.0,50.0,28.0,9.0,45.0,55.0
2016-04-13,40.0,8.0,27.0,73.0,53.0,22.0,21.0,9.0,44.0,30.0
2016-04-14,23.0,14.0,27.0,54.0,50.0,25.0,10.0,10.0,48.0,31.0
2016-04-15,45.0,15.0,40.0,52.0,59.0,30.0,18.0,5.0,48.0,39.0
2016-04-16,8.0,9.0,6.0,20.0,14.0,6.0,10.0,4.0,15.0,9.0
2016-04-17,8.0,4.0,6.0,13.0,22.0,7.0,7.0,2.0,14.0,7.0
2016-04-18,34.0,14.0,27.0,51.0,38.0,31.0,14.0,7.0,39.0,22.0
2016-04-19,33.0,11.0,19.0,38.0,47.0,39.0,14.0,10.0,29.0,29.0
2016-04-20,45.0,17.0,31.0,52.0,46.0,37.0,19.0,7.0,41.0,36.0
2016-04-21,38.0,14.0,24.0,60.0,51.0,35.0,17.0,5.0,49.0,33.0
2016-04-22,27.0,21.0,14.0,39.0,45.0,28.0,9.0,6.0,38.0,30.0
2016-04-23,8.0,6.0,7.0,19.0,20.0,1.0,6.0,null,13.0,11.0
2016-04-24,2.0,2.0,8.0,21.0,14.0,11.0,4.0,2.0,13.0,9.0
2016-04-25,36.0,11.0,20.0,44.0,43.0,27.0,15.0,12.0,42.0,31.0
2016-04-26,35.0,9.0,22.0,78.0,70.0,31.0,8.0,10.0,71.0,37.0
2016-04-27,31.0,9.0,23.0,86.0,76.0,24.0,12.0,11.0,70.0,36.0
2016-04-28,27.0,10.0,32.0,66.0,50.0,24.0,19.0,11.0,45.0,39.0
2016-04-29,29.0,10.0,23.0,58.0,44.0,31.0,13.0,9.0,48.0,28.0
2016-04-30,9.0,3.0,8.0,14.0,12.0,10.0,2.0,4.0,14.0,4.0
2016-05-01,7.0,3.0,8.0,15.0,21.0,8.0,5.0,10.0,11.0,5.0
2016-05-02,32.0,12.0,28.0,69.0,61.0,31.0,16.0,3.0,53.0,22.0
2016-05-03,47.0,12.0,24.0,66.0,108.0,36.0,7.0,7.0,37.0,39.0
2016-05-04,26.0,12.0,26.0,54.0,41.0,28.0,18.0,5.0,48.0,41.0
2016-05-05,34.0,17.0,32.0,70.0,58.0,38.0,13.0,14.0,43.0,21.0
2016-05-06,30.0,11.0,26.0,52.0,35.0,18.0,10.0,4.0,34.0,22.0
2016-05-07,11.0,7.0,12.0,18.0,14.0,9.0,5.0,9.0,19.0,10.0
2016-05-08,5.0,2.0,15.0,16.0,28.0,6.0,3.0,1.0,26.0,4.0
2016-05-09,41.0,12.0,30.0,44.0,42.0,19.0,16.0,10.0,50.0,25.0
2016-05-10,35.0,11.0,20.0,84.0,65.0,49.0,11.0,3.0,64.0,39.0
2016-05-11,32.0,12.0,30.0,71.0,88.0,45.0,16.0,13.0,53.0,48.0
2016-05-12,27.0,12.0,25.0,66.0,57.0,29.0,11.0,10.0,42.0,30.0
2016-05-13,24.0,12.0,28.0,39.0,28.0,22.0,18.0,10.0,24.0,26.0
2016-05-14,10.0,3.0,13.0,24.0,12.0,13.0,3.0,3.0,13.0,10.0
2016-05-15,8.0,2.0,7.0,30.0,27.0,10.0,5.0,6.0,11.0,3.0
2016-05-16,30.0,14.0,28.0,60.0,43.0,39.0,15.0,8.0,57.0,28.0
2016-05-17,24.0,12.0,20.0,64.0,54.0,32.0,12.0,11.0,46.0,40.0
2016-05-18,36.0,13.0,24.0,70.0,50.0,33.0,26.0,10.0,49.0,35.0
2016-05-19,25.0,17.0,26.0,57.0,41.0,31.0,15.0,9.0,47.0,39.0
2016-05-20,34.0,5.0,38.0,35.0,26.0,19.0,18.0,4.0,28.0,30.0
2016-05-21,13.0,5.0,13.0,24.0,10.0,6.0,3.0,3.0,9.0,4.0
2016-05-22,2.0,5.0,14.0,12.0,22.0,9.0,1.0,2.0,14.0,7.0
2016-05-23,31.0,7.0,32.0,61.0,29.0,28.0,10.0,7.0,36.0,29.0
2016-05-24,43.0,17.0,38.0,65.0,57.0,33.0,19.0,4.0,38.0,39.0
2016-05-25,53.0,15.0,44.0,59.0,57.0,34.0,12.0,6.0,40.0,56.0
2016-05-26,35.0,25.0,30.0,61.0,57.0,31.0,11.0,9.0,38.0,39.0
2016-05-27,22.0,10.0,36.0,48.0,36.0,30.0,12.0,9.0,37.0,35.0
2016-05-28,6.0,7.0,13.0,17.0,18.0,9.0,3.0,4.0,16.0,7.0
2016-05-29,9.0,6.0,6.0,14.0,9.0,4.0,3.0,3.0,6.0,6.0
2016-05-30,6.0,5.0,9.0,25.0,14.0,7.0,1.0,5.0,18.0,7.0
2016-05-31,33.0,12.0,26.0,52.0,34.0,25.0,8.0,13.0,29.0,26.0
2016-06-01,37.0,7.0,43.0,56.0,37.0,29.0,9.0,10.0,38.0,38.0
2016-06-02,42.0,17.0,35.0,59.0,45.0,23.0,10.0,5.0,38.0,32.0
2016-06-03,34.0,10.0,43.0,69.0,57.0,22.0,12.0,6.0,49.0,35.0
2016-06-04,5.0,3.0,12.0,17.0,24.0,12.0,null,3.0,14.0,6.0
2016-06-05,8.0,5.0,7.0,28.0,10.0,8.0,null,null,15.0,4.0
2016-06-06,38.0,11.0,32.0,56.0,47.0,28.0,12.0,3.0,53.0,26.0
2016-06-07,32.0,12.0,45.0,77.0,66.0,35.0,18.0,12.0,51.0,38.0
2016-06-08,47.0,13.0,53.0,62.0,54.0,35.0,10.0,11.0,44.0,39.0
2016-06-09,28.0,16.0,36.0,76.0,63.0,27.0,10.0,5.0,46.0,25.0
2016-06-10,36.0,10.0,38.0,45.0,47.0,27.0,8.0,8.0,35.0,30.0
2016-06-11,9.0,3.0,16.0,23.0,11.0,4.0,1.0,4.0,15.0,8.0
2016-06-12,12.0,5.0,20.0,18.0,17.0,10.0,5.0,4.0,11.0,4.0
2016-06-13,19.0,17.0,23.0,52.0,35.0,25.0,11.0,9.0,38.0,33.0
2016-06-14,44.0,12.0,33.0,63.0,40.0,26.0,11.0,8.0,49.0,43.0
2016-06-15,34.0,16.0,36.0,90.0,50.0,35.0,10.0,4.0,46.0,33.0
2016-06-16,43.0,13.0,41.0,44.0,50.0,29.0,11.0,9.0,45.0,32.0
2016-06-17,25.0,11.0,47.0,39.0,26.0,19.0,7.0,8.0,31.0,25.0
2016-06-18,11.0,6.0,27.0,19.0,14.0,13.0,2.0,5.0,17.0,5.0
2016-06-19,6.0,2.0,9.0,12.0,9.0,4.0,2.0,1.0,12.0,6.0
2016-06-20,31.0,16.0,41.0,54.0,58.0,26.0,8.0,10.0,41.0,26.0
2016-06-21,29.0,26.0,40.0,65.0,53.0,29.0,13.0,11.0,43.0,42.0
2016-06-22,29.0,18.0,42.0,54.0,45.0,26.0,7.0,12.0,43.0,34.0
2016-06-23,39.0,9.0,44.0,71.0,63.0,30.0,20.0,8.0,56.0,33.0
2016-06-24,39.0,14.0,26.0,50.0,27.0,22.0,13.0,8.0,28.0,32.0
2016-06-25,10.0,6.0,14.0,24.0,22.0,9.0,6.0,7.0,16.0,10.0
2016-06-26,9.0,7.0,9.0,25.0,20.0,2.0,2.0,3.0,22.0,4.0
2016-06-27,31.0,16.0,40.0,49.0,27.0,22.0,10.0,4.0,35.0,34.0
2016-06-28,41.0,6.0,45.0,70.0,54.0,32.0,6.0,8.0,53.0,29.0
2016-06-29,27.0,16.0,39.0,70.0,58.0,30.0,10.0,14.0,63.0,30.0
2016-06-30,34.0,11.0,50.0,50.0,90.0,30.0,8.0,5.0,50.0,29.0
2016-07-01,29.0,17.0,36.0,45.0,31.0,27.0,13.0,8.0,30.0,24.0
2016-07-02,8.0,3.0,15.0,23.0,24.0,4.0,2.0,2.0,19.0,12.0
2016-07-03,9.0,4.0,13.0,25.0,9.0,5.0,1.0,1.0,19.0,6.0
2016-07-04,5.0,3.0,18.0,19.0,13.0,10.0,3.0,3.0,15.0,6.0
2016-07-05,29.0,13.0,48.0,36.0,38.0,20.0,8.0,6.0,30.0,26.0
2016-07-06,23.0,16.0,50.0,83.0,74.0,24.0,6.0,17.0,236.0,34.0
2016-07-07,28.0,14.0,60.0,50.0,52.0,27.0,14.0,12.0,104.0,37.0
2016-07-08,36.0,16.0,42.0,52.0,27.0,29.0,15.0,14.0,45.0,23.0
2016-07-09,3.0,7.0,21.0,24.0,14.0,7.0,3.0,5.0,24.0,7.0
2016-07-10,9.0,2.0,20.0,21.0,20.0,5.0,1.0,8.0,22.0,5.0
2016-07-11,28.0,20.0,35.0,40.0,38.0,27.0,11.0,7.0,38.0,38.0
2016-07-12,35.0,12.0,47.0,53.0,49.0,35.0,16.0,10.0,47.0,25.0
2016-07-13,48.0,16.0,45.0,101.0,75.0,30.0,12.0,19.0,68.0,33.0
2016-07-14,24.0,15.0,33.0,50.0,57.0,27.0,12.0,9.0,61.0,33.0
2016-07-15,37.0,5.0,45.0,59.0,51.0,27.0,8.0,7.0,60.0,23.0
2016-07-16,6.0,3.0,18.0,29.0,22.0,4.0,3.0,9.0,30.0,9.0
2016-07-17,7.0,2.0,11.0,11.0,9.0,7.0,2.0,2.0,13.0,8.0
2016-07-18,25.0,5.0,42.0,41.0,48.0,28.0,4.0,8.0,50.0,18.0
2016-07-19,36.0,10.0,51.0,57.0,56.0,33.0,9.0,15.0,48.0,42.0
2016-07-20,35.0,16.0,37.0,55.0,47.0,22.0,10.0,7.0,38.0,32.0
2016-07-21,31.0,11.0,33.0,54.0,66.0,23.0,9.0,15.0,69.0,29.0
2016-07-22,21.0,14.0,46.0,70.0,60.0,26.0,13.0,9.0,42.0,38.0
2016-07-23,11.0,5.0,24.0,32.0,22.0,9.0,3.0,5.0,30.0,9.0
2016-07-24,7.0,2.0,21.0,21.0,13.0,6.0,1.0,1.0,21.0,5.0
2016-07-25,25.0,14.0,40.0,66.0,70.0,26.0,12.0,8.0,55.0,28.0
2016-07-26,40.0,21.0,47.0,109.0,107.0,38.0,16.0,16.0,67.0,38.0
2016-07-27,45.0,15.0,51.0,91.0,95.0,45.0,10.0,11.0,69.0,48.0
2016-07-28,32.0,17.0,44.0,82.0,78.0,27.0,13.0,6.0,52.0,30.0
2016-07-29,36.0,9.0,41.0,45.0,61.0,36.0,18.0,10.0,39.0,41.0
2016-07-30,11.0,3.0,10.0,13.0,17.0,8.0,4.0,2.0,17.0,7.0
